year,source,units,value,rescale
2009,Mailander,sharks trip-1,0,0
2010,Mailander,sharks trip-1,0,0
2011,Mailander,sharks trip-1,0,0
2012,Mailander,sharks trip-1,0,0
2015,Mailander,sharks trip-1,1.533333333,0.304747884
2016,Mailander,sharks trip-1,1.885714286,0.374783112
2017,Mailander,sharks trip-1,4.24,0.842694148
2018,Mailander,sharks trip-1,3.463461538,0.688358201
2019,Mailander,sharks trip-1,5.031481481,1
2010,iNaturalist,entries,0,0
2011,iNaturalist,entries,0,0
2012,iNaturalist,entries,0,0
2013,iNaturalist,entries,0,0
2014,iNaturalist,entries,1,0.052631579
2015,iNaturalist,entries,6,0.315789474
2016,iNaturalist,entries,4,0.210526316
2017,iNaturalist,entries,10,0.526315789
2018,iNaturalist,entries,13,0.684210526
2019,iNaturalist,entries,19,1
